46603,8,,,,,,,98906.57,203.29,58.17,19.82,18.75,2.58,nan,87.54,0.90,1.13,0.21,-0.02,0.04,1.00,142.68,17.32
51727,9,,,,,,,98908.21,203.15,58.12,19.85,18.76,2.60,nan,87.11,0.73,1.05,0.51,-0.02,0.05,1.00,138.69,17.35
56854,10,,,,,,,98915.24,202.55,58.03,19.87,18.78,2.48,nan,85.63,0.49,1.00,0.36,-0.01,0.04,1.00,148.39,17.32
61978,11,,,,,,,98913.16,202.73,57.97,19.89,18.78,2.63,nan,87.24,0.55,1.10,0.28,-0.01,0.05,1.00,148.39,17.32
67102,12,,,,,,,98908.63,202.89,57.91,19.93,18.80,2.40,nan,86.15,0.73,0.96,0.26,-0.01,0.04,1.00,135.27,17.35
72226,13,,,,,,,98916.48,202.45,57.86,19.94,18.81,2.58,nan,86.74,0.78,0.97,0.23,-0.02,0.04,1.00,145.53,17.39
77422,14,,,,,,,98955.73,199.12,57.70,19.96,18.81,2.51,58.97,86.08,0.92,0.93,0.13,-0.02,0.04,1.00,150.67,17.35
82550,15,,,,,,,98950.36,199.57,57.73,19.98,18.81,2.56,nan,86.35,1.19,1.01,0.34,-0.02,0.04,0.99,147.82,17.35
87674,16,,,,,,,98953.88,199.28,57.75,20.00,18.83,3.13,29.50,85.87,-0.41,0.66,0.84,-0.00,0.05,0.99,148.96,17.35
92800,17,,,,,,,98953.69,199.29,57.65,20.03,18.85,1.14,nan,87.91,0.38,1.05,0.01,-0.01,0.02,1.03,151.81,17.35
97923,18,,,,,,,98956.98,199.01,58.31,20.10,18.83,3.95,88.54,94.70,6.81,13.37,-10.11,-0.16,0.07,1.08,140.97,17.39
103051,19,,,,,,,98959.86,198.77,58.93,20.13,18.81,-0.45,-85.62,56.19,1.49,16.34,-25.88,0.12,-0.01,0.93,140.97,17.28
108194,20,,,,,,,99001.39,195.93,58.43,20.06,18.50,-14.62,-89.14,-7.99,-13.18,11.18,-17.41,0.23,-0.24,0.92,125.00,16.94
113423,21,,,,,,,99066.36,189.96,58.65,19.53,17.82,2.78,nan,48.54,-1.50,-6.65,-4.03,0.06,0.05,0.99,125.00,15.65
118547,22,,,,,,,99047.53,191.33,59.26,19.15,17.23,8.65,-75.32,97.39,12.92,30.59,6.77,0.02,0.16,1.06,116.44,15.08
123672,23,,,,,,,99054.20,190.77,60.30,18.47,16.61,26.59,nan,92.15,2.14,4.15,0.96,-0.03,0.46,0.91,108.46,14.56
128800,24,,,,,,,99052.27,190.93,61.75,17.86,16.04,34.67,-85.06,103.76,15.78,3.08,-2.57,0.10,0.57,0.82,109.03,14.09
133925,25,,,,,,,99025.38,193.21,63.14,17.38,15.62,31.31,nan,99.88,6.27,5.15,-2.78,0.19,0.50,0.82,117.01,13.75
139170,26,,,,,,,99019.80,193.68,64.50,16.94,15.29,10.31,nan,73.94,-3.23,-0.83,5.77,0.20,0.17,0.94,115.30,13.56
144294,27,,,,,,,99001.57,195.23,65.79,16.66,15.06,16.53,-88.87,87.80,-1.45,1.70,-2.81,0.35,0.26,0.89,114.73,13.30
149422,28,,0.00,0.00,0.00,0.00,0.00,98974.07,197.56,66.54,16.47,14.90,17.60,nan,92.36,5.37,5.38,5.66,0.37,0.28,0.87,123.86,13.20
154549,29,,0.00,0.00,0.00,0.00,0.00,98989.19,196.28,67.36,16.17,14.71,12.02,-89.22,81.87,0.48,2.49,0.78,0.22,0.20,0.94,121.01,13.00
159677,30,,0.00,0.00,0.00,0.00,0.00,98984.33,196.69,68.30,15.91,14.57,6.74,-87.80,74.07,-0.15,5.25,1.24,0.27,0.11,0.95,106.18,12.91
164805,31,,0.00,0.00,0.00,0.00,0.00,98976.25,197.38,69.14,15.72,14.45,9.67,nan,71.51,5.92,-18.06,-29.56,0.34,0.14,0.83,114.73,12.78
169952,32,,0.00,0.00,0.00,0.00,0.00,98983.83,196.96,69.92,15.46,14.32,7.70,-87.81,64.89,2.91,1.58,-4.18,0.24,0.13,0.95,124.43,12.75
175191,33,,0.00,0.00,0.00,0.00,0.00,98978.24,197.21,70.72,15.27,14.23,5.73,-88.86,66.60,-7.38,2.23,-11.48,0.43,0.09,0.88,103.32,12.62
180319,34,,0.00,0.00,0.00,0.00,0.00,98971.29,197.80,71.40,15.13,14.17,0.94,nan,44.34,-6.12,-23.96,13.77,0.22,0.02,1.01,107.89,12.62
185446,35,,0.00,0.00,0.00,0.00,0.00,98976.46,197.36,72.05,15.04,14.09,-4.59,nan,23.59,-1.39,3.87,1.26,0.16,-0.08,0.99,123.86,12.59
190577,36,,0.00,0.00,0.00,0.00,0.00,98971.16,197.81,72.46,15.04,14.02,-2.08,-87.65,30.77,-0.97,2.16,0.88,0.19,-0.04,0.97,111.88,12.46
195705,37,,0.00,0.00,0.00,0.00,0.00,98968.35,198.05,72.86,15.00,13.99,-6.83,-87.99,28.44,-14.19,14.64,-28.11,0.31,-0.11,0.95,118.15,12.46
200833,38,,0.00,0.00,0.00,0.00,0.00,98960.70,198.70,73.10,15.02,13.97,-2.89,-87.87,26.09,1.67,3.96,-3.37,0.21,-0.05,0.98,122.15,12.59
206055,39,,0.00,0.00,0.00,0.00,0.00,98952.07,199.43,73.25,14.98,14.00,-1.22,nan,23.64,0.08,-0.03,1.47,0.24,-0.02,0.97,110.74,12.81
211185,40,,0.00,0.00,0.00,0.00,0.00,98967.71,198.10,73.43,14.98,13.98,-0.57,nan,28.00,-1.65,0.80,-2.84,0.22,-0.01,0.96,103.32,12.78
216312,41,,0.00,0.00,0.00,0.00,0.00,98966.19,198.23,73.54,14.96,13.95,-4.31,-88.63,25.49,-5.36,1.09,7.27,0.23,-0.07,0.94,103.32,12.65
221440,42,,0.00,0.00,0.00,0.00,0.00,98964.71,198.36,73.66,14.96,13.94,-5.47,-88.45,23.47,0.81,1.15,1.01,0.26,-0.09,0.95,119.30,12.65
226568,43,,0.00,0.00,0.00,0.00,0.00,98962.25,198.57,73.81,14.96,13.95,-3.93,-88.00,30.08,-2.41,0.85,-5.78,0.29,-0.06,0.92,110.17,12.72
231699,44,,0.00,0.00,0.00,0.00,0.00,98958.57,198.88,73.79,14.95,13.94,-6.40,nan,28.75,3.61,2.82,9.32,0.31,-0.11,0.97,115.30,12.59
236974,45,,0.00,0.00,0.00,0.00,0.00,98960.39,198.72,74.03,14.92,13.92,-5.68,-88.83,26.26,0.11,-7.69,13.91,0.25,-0.09,0.93,113.59,12.59
242102,46,,0.00,0.00,0.00,0.00,0.00,98965.08,198.32,74.15,14.90,13.90,-1.96,nan,29.32,-1.40,1.47,1.83,0.28,-0.03,0.97,102.75,12.53
247229,47,,0.00,0.00,0.00,0.00,0.00,98964.40,198.38,74.26,14.90,13.87,-2.76,nan,31.39,0.59,0.60,-1.41,0.27,-0.05,0.96,121.01,12.46
252360,48,,0.00,0.00,0.00,0.00,0.00,98956.78,199.03,74.45,14.94,13.87,-3.45,-88.44,29.42,5.73,-7.88,0.86,0.31,-0.06,0.94,114.16,12.46
257488,49,,0.00,0.00,0.00,0.00,0.00,98963.92,198.42,74.51,14.96,13.84,0.16,nan,34.98,-4.13,16.73,-4.03,0.33,0.00,0.89,123.29,12.46
262615,50,,0.00,0.00,0.00,0.00,0.00,98965.10,198.32,74.57,14.99,13.82,1.70,-89.33,34.52,6.95,1.00,3.03,0.33,0.03,0.91,123.86,12.34
267746,51,,0.00,0.00,0.00,0.00,0.00,98967.09,198.60,74.66,15.03,13.82,1.76,-88.64,36.51,-6.60,5.84,-4.01,0.31,0.03,0.95,119.30,12.31
272987,52,,0.00,0.00,0.00,0.00,0.00,98960.96,198.68,74.54,15.05,13.81,2.88,nan,32.36,3.06,1.86,-0.51,0.29,0.05,0.93,126.14,12.34
278114,53,,0.00,0.00,0.00,0.00,0.00,98953.97,199.27,74.53,15.02,13.83,1.28,nan,34.97,-2.49,2.76,1.32,0.36,0.02,0.92,115.87,12.34
283241,54,,0.00,0.00,0.00,0.00,0.00,98950.13,199.59,74.54,14.95,13.87,1.79,nan,33.20,-0.20,1.65,-1.16,0.35,0.03,0.92,110.17,12.46
288371,55,,0.00,0.00,0.00,0.00,0.00,98958.60,198.87,74.73,14.86,13.90,2.15,nan,38.70,1.39,-3.38,-9.28,0.38,0.04,0.95,111.31,12.53
293498,56,,0.00,0.00,0.00,0.00,0.00,98963.59,198.45,74.95,14.89,13.88,8.55,nan,43.92,-2.20,2.21,7.64,0.41,0.14,0.93,118.15,12.50
298625,57,,0.00,0.00,0.00,0.00,0.00,98957.59,198.96,75.20,14.90,13.88,8.95,-88.85,51.37,-1.95,3.50,-5.81,0.40,0.14,0.89,121.58,12.53
303873,58,,0.00,0.00,0.00,0.00,0.00,98961.10,198.66,75.14,14.90,13.89,4.12,nan,39.32,-4.72,2.14,-7.42,0.39,0.06,0.89,119.30,12.56
309003,59,,0.00,0.00,0.00,0.00,0.00,98964.57,198.37,75.50,14.87,13.87,4.60,nan,47.37,4.68,1.37,9.75,0.40,0.07,0.88,108.46,12.62
314130,60,,0.00,0.00,0.00,0.00,0.00,98956.78,199.03,75.41,14.83,13.87,4.71,-88.52,40.98,-2.79,-3.61,9.73,0.40,0.08,0.92,113.59,12.56
319258,61,,0.00,0.00,0.00,0.00,0.00,98961.26,198.20,75.51,14.85,13.85,5.04,nan,40.36,-3.57,-8.44,-4.71,0.44,0.08,0.90,115.30,12.46
324385,62,,0.00,0.00,0.00,0.00,0.00,98950.77,199.54,75.57,14.85,13.86,-9.16,nan,58.16,-13.11,23.22,-47.61,0.30,-0.15,0.92,118.73,12.46
329516,63,,0.00,0.00,0.00,0.00,0.00,98941.77,200.30,76.05,15.01,13.99,-16.71,nan,117.58,-25.35,72.46,6.69,-0.39,-0.38,1.27,154.66,12.78
334739,64,,0.00,0.00,0.00,0.00,0.00,98938.57,200.80,76.18,15.14,14.14,1.66,64.64,109.50,0.41,1.60,0.37,-0.02,0.03,1.00,163.22,13.00
339919,65,,0.00,0.00,0.00,0.00,0.00,98937.66,200.65,75.93,15.21,14.29,1.71,69.93,109.51,0.80,1.55,0.41,-0.02,0.03,1.00,160.36,13.23
345047,66,,0.00,0.00,0.00,0.00,0.00,98943.92,200.12,75.82,15.28,14.43,1.80,78.75,108.80,0.52,1.50,0.35,-0.02,0.03,1.00,160.93,13.30
350178,67,,0.00,0.00,0.00,0.00,0.00,98942.35,200.25,75.50,15.36,14.53,1.70,nan,110.06,0.79,1.38,0.34,-0.02,0.03,1.00,162.65,13.46
355305,68,,0.00,0.00,0.00,0.00,0.00,98890.44,204.66,75.35,15.44,14.64,1.64,nan,108.56,0.41,1.32,0.54,-0.02,0.03,1.00,166.07,13.59
360432,69,,0.00,0.00,0.00,0.00,0.00,98900.67,203.79,75.20,15.50,14.75,1.63,nan,109.70,0.56,1.63,0.52,-0.02,0.03,1.01,168.35,13.75
365559,70,,0.00,0.00,0.00,0.00,0.00,98894.93,204.28,75.01,15.57,14.88,1.71,71.96,109.86,0.28,1.29,0.24,-0.02,0.03,1.00,170.63,13.75
370755,71,,0.00,0.00,0.00,0.00,0.00,98896.17,204.17,74.87,15.65,14.99,1.44,nan,108.84,0.40,1.27,0.44,-0.02,0.03,1.00,167.78,13.92
375882,72,,0.00,0.00,0.00,0.00,0.00,98899.22,203.92,74.87,15.72,15.08,1.76,nan,109.32,0.49,1.12,0.53,-0.02,0.03,1.00,164.93,14.12
381009,73,,0.00,0.00,0.00,0.00,0.00,98898.94,203.94,74.49,15.78,15.19,1.42,71.94,109.21,0.39,1.27,0.45,-0.02,0.02,1.00,176.90,14.09
