5711,0,23,59,48,0.000000,0.000000,0.00,0.00,88923.39,1087.63,49.02,0.00,17.93,7.48,2.84,35.85,-2.49,1.81,0.00,-0.05,0.13,1.00,115.56,nan
21076,1,16,12,8,0.000000,0.000000,0.00,0.00,91672.52,836.39,51.26,0.00,17.75,8.57,0.59,29.61,1.98,-0.25,1.57,-0.01,0.15,0.99,115.56,nan
26199,2,16,12,13,0.000000,0.000000,0.00,0.00,91652.19,838.23,52.05,0.00,17.72,9.40,1.00,20.47,-1.49,4.17,-0.14,-0.02,0.16,0.99,115.56,nan
31321,3,16,12,18,0.000000,0.000000,0.00,0.00,91663.64,837.20,52.29,0.00,17.58,12.31,2.60,21.41,1.69,4.44,8.77,-0.05,0.22,1.01,115.56,nan
36443,4,16,12,23,0.000000,0.000000,0.00,0.00,91671.63,836.47,52.09,0.00,17.41,13.31,1.33,22.70,6.70,-4.72,2.82,-0.02,0.23,0.98,110.07,nan
41771,5,16,12,29,0.000000,0.000000,0.00,0.00,91685.68,835.21,52.54,0.00,17.12,10.64,-0.25,26.12,1.95,3.17,0.10,0.00,0.19,0.99,132.03,nan
46934,6,16,12,34,34.545921,-117.863777,181.80,0.87,91666.02,836.74,52.95,0.00,16.94,11.87,3.51,56.65,8.93,-8.08,34.29,-0.06,0.21,0.99,126.54,nan
63406,7,16,12,50,34.545894,-117.863784,181.80,0.43,91709.82,833.03,53.98,0.00,16.51,2.13,-8.13,18.60,0.22,3.16,-0.05,0.14,0.04,0.99,121.05,nan
68699,8,16,12,56,34.545906,-117.863792,181.80,0.72,91671.32,836.50,54.26,0.00,16.34,10.53,-4.21,21.19,5.57,-3.15,23.94,0.07,0.18,0.99,121.05,nan
73823,9,16,13,0,34.545894,-117.863792,181.80,0.98,91668.47,836.76,54.62,0.00,16.16,9.56,-2.30,18.75,0.19,0.43,2.97,0.04,0.17,0.98,121.05,nan
78947,10,16,13,6,34.545879,-117.863792,181.80,0.57,91641.63,839.18,54.85,0.00,16.16,6.35,-11.48,16.37,-21.98,14.42,-32.00,0.20,0.11,1.00,115.56,nan
84080,11,16,13,11,34.545917,-117.863807,181.80,0.41,91628.28,840.39,55.18,0.00,16.37,-3.73,7.00,177.21,0.51,17.45,2.60,-0.12,-0.07,1.01,121.05,nan
89206,12,16,13,16,34.545944,-117.863822,181.80,1.98,91568.94,845.75,54.77,0.00,16.90,-25.84,15.89,7.03,14.10,-3.32,-24.85,-0.28,-0.42,0.87,115.56,nan
105262,13,16,13,32,34.544418,-117.863265,219.20,0.15,91457.79,855.79,51.99,0.00,18.09,-11.19,-3.28,81.57,2.64,0.88,5.16,0.06,-0.20,0.99,126.54,nan
110385,14,16,13,37,34.544498,-117.863075,225.00,0.22,91634.68,839.81,51.96,0.00,18.16,-14.89,2.85,71.42,-0.31,-0.11,-2.70,-0.05,-0.26,0.97,126.54,nan
115687,15,16,13,43,34.544639,-117.863067,230.00,0.54,91632.00,840.05,52.26,0.00,18.24,-7.33,1.22,76.97,-12.77,-16.85,-4.30,-0.02,-0.13,1.01,121.05,nan
120814,16,16,13,48,34.544586,-117.863006,236.90,0.11,91633.54,839.91,51.28,0.00,18.29,-8.13,2.35,74.87,1.23,1.06,0.59,-0.04,-0.14,1.00,121.05,nan
125938,17,16,13,53,34.544544,-117.862976,242.20,0.44,91638.52,839.46,50.95,0.00,18.29,-8.76,4.31,76.60,0.11,0.25,2.03,-0.08,-0.15,0.99,115.56,nan
131062,18,16,13,58,34.543560,-117.862358,298.20,0.02,91662.63,837.29,50.73,0.00,18.22,-5.50,3.72,82.40,1.79,0.17,-1.18,-0.06,-0.10,0.99,121.05,nan
147702,19,16,14,15,34.543548,-117.863281,637.60,0.30,91500.00,851.98,48.84,0.00,19.20,-9.34,9.01,158.36,34.00,1.68,34.23,-0.15,-0.15,0.94,115.56,nan
152826,20,16,14,20,34.543540,-117.863372,676.70,0.39,91593.64,843.52,47.98,0.00,19.59,-5.06,3.49,149.63,8.72,3.62,1.81,-0.06,-0.09,1.01,126.54,nan
157950,21,16,14,25,34.543556,-117.863418,701.10,0.44,91601.57,842.80,46.89,0.00,19.93,-2.08,1.38,144.51,-5.85,2.04,-0.42,-0.02,-0.04,0.99,121.05,nan
163078,22,16,14,30,34.543571,-117.863456,719.70,0.11,91587.21,843.37,45.72,0.00,20.37,-1.69,1.34,135.56,-2.77,1.09,1.48,-0.02,-0.03,1.00,115.56,nan
168202,23,16,14,35,34.543640,-117.863525,741.90,0.22,91606.13,842.39,45.53,0.00,20.73,-0.47,5.38,136.79,-2.04,2.81,-2.62,-0.10,-0.01,1.01,115.56,nan
173326,24,16,14,40,34.543643,-117.863533,744.20,0.20,91595.83,843.32,44.89,0.00,21.14,-0.97,0.82,130.15,-0.32,5.88,-0.21,-0.01,-0.02,0.98,132.03,nan
190477,25,16,14,57,34.543663,-117.863540,744.90,0.35,91478.22,853.95,42.18,0.00,22.31,5.65,1.16,117.36,45.10,-19.84,37.50,-0.02,0.10,1.05,121.05,nan
